,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
bitcoin_dynamic_bb_signal,-0.05582680581618182,0.010994588870636094,-0.024957542835481232,0.0887883202014922,-0.02640480054950466,-0.08300583328516843,-0.028784740225081432,0.022142300478468532,0.06424352719164389,-0.04219861619739981,0.19101224996856633,0.10507076215803422,0.1597170910962534,0.042460736527798464,0.18068606004922166,0.285344672870988,0.05146856538026182,0.012585083585386183,0.007261522239746599,-0.20442149944478588,-0.1917800020959451,-0.22476679255498955,0.5093563679229638,0.006942280364909678,0.09499387233016736
bitcoin_macd_histogram,0.09217438106821874,-0.029510234899455194,0.05601715885846115,-0.19532472426334196,-0.14904578252281675,-0.010521727676088583,-0.11812304185328712,-0.11498798992602952,0.12645363726044967,-0.03664628317184711,-0.007559626757938698,-0.002644315356100886,-0.039588494029438245,-0.008343279690437338,0.008266105182291275,-0.07361481199484043,0.07904575810997863,-0.1209064929963572,-0.03336936751061619,-0.09790567003429834,0.007871836793217894,-0.10568615474980533,0.01770197756183893,-0.12305715096195255,0.0527127767249968
bitcoin_var_95_30d,0.07058477496216109,-0.2177839188207198,-0.04668904863851164,0.042333417229899084,0.05504799341697414,0.023681543108040215,0.08714538541972233,0.06932105905348415,-0.16512646123488103,-0.028225497049722215,0.015229408938906175,-0.05303798889864231,-0.12236845003335117,0.0049464781259419555,0.04468349000052926,-0.027859858503327173,-0.08303312634777371,-0.005167924054649994,-0.06305604677766999,0.03059000533987686,0.03244332093812235,0.013741424450375576,0.08689297799262857,0.008461902559602344,0.13120121189679862
litecoin_btc_ratio_momentum,0.06931781858633508,0.019510876343964256,-0.10347954492266104,0.21694384550135992,-0.00705218733630171,-0.1366804098564261,0.022251666812245365,-0.05481487216391914,-0.0237545617456333,0.09493971594100882,0.052453650213768216,-0.032755170736172706,-0.10145720031686328,-0.19958815420251189,0.043354090428234404,-0.16221780338533992,-0.04456206294846916,-0.12202759352642534,0.10271182986068575,-0.06879636466448275,0.047376880091561574,-0.10995421165315034,-0.025901171280175522,0.0003467479991295481,0.026761519721133956
shiba-inu_bb_regime_type,0.018199360076199603,0.10166231136736523,-0.025948839876418495,-0.029633817536535045,0.03579192323130771,0.08355601378715993,0.06018783303004388,0.009697702183174554,0.22859134115071644,0.1792097875061988,0.30285595196088355,-0.10464504055274182,-0.17297139958534447,0.07591798848398798,0.11025489276714863,-0.11542357059402406,0.13919948759351744,0.0445120682923528,-0.0596280026054007,0.04232710151748552,0.15718902045894478,0.1162869307384247,-0.04786259968246165,0.2365365124254157,-0.21901959432518475
ripple_price_sma7_ratio,0.1273694694443516,0.0842654148969014,0.00673155166992051,-0.020775793027779932,0.04833932460830678,-0.06616361063061485,-0.09273285168118968,0.0019696223481508734,-0.12148568744554493,-0.15441055225893494,0.0074076225825081,-0.07781188581384872,0.05020958292309896,0.00837716586730974,0.09373618962228547,-0.12416708940424041,0.05936729426181552,0.2341631105564901,-0.10743157048807939,-0.08197752234450223,-0.047699527808575296,-0.02351211532452313,-0.01606973425812025,-0.016417249356128736,-0.09697304222219252
bitcoin_momentum_10,0.12933582141840008,-0.07111207096421931,-0.0003340587858298161,-0.1472444221595835,-0.029613401056737904,-0.011883247694080001,-0.037189496577454184,-0.07393335389121841,0.12344815741259016,-0.0118515682317155,-0.1267162218046747,0.007667265484837649,-0.03555452058663244,-0.06508159471525964,0.05550703280573466,0.016918443385347537,0.0037180032101097812,-0.13193672391330177,-0.10223443184372762,-0.04932291857969778,0.023518532509441747,0.02476909770298414,-0.006416338395001664,-0.020452919210480952,0.05492718618438516
solana_momentum_10,0.11103917099378784,-0.054373106448418085,0.028085714122479233,-0.13524651044923894,-0.06907095581770564,-0.026533615616645842,-0.10769414848932136,-0.09375318879493863,0.1040995729157912,-0.007492355265279499,-0.05783235012525806,0.08867789892245106,-0.04304977200313818,0.03117002633254046,0.23295314577129295,0.1032452575386904,-0.047745652813869034,-0.1494441701456904,0.09376392294271736,0.026735437384844102,0.0529202464358129,0.0980985783501089,-0.08398786710618951,0.056431616500676025,0.09358876313254857
solana_reverse_bb_momentum,0.06617725798164555,0.03597635548016198,0.18128334470297353,0.0431563189648321,0.1403545069316121,0.04600103508506714,0.0041745274919708225,-0.0902735571883377,0.014162125540905679,-0.009574849015037162,-0.019835701615084522,0.09828878344203476,-0.02220050386175112,-0.0042564742362107754,0.11342115704032316,-0.047750669652847744,0.0053918513398344275,-0.011058355428400252,0.0913704513776857,0.005340757418860573,-0.017372472146298425,0.02739445485115359,0.09714569110165569,0.2408263679400767,0.2023052618974057
dogecoin_bb_regime_type,0.046309482617805674,-0.14621221293335668,-0.06812236069104849,0.015672778329831397,0.17784868341814264,-0.1356305727305937,-0.058746437981427896,0.07622759024804407,0.05810535962418051,-0.007279362484713892,0.02514711129565851,0.000495833460178341,-0.11534971085209297,-0.054006042581124555,0.04600692036758269,0.09911769760760052,-0.1781396340033165,0.03991183939137429,-0.059912451819346284,0.0028306731719877354,0.034644987697680804,0.03874277627509064,-0.034560611891756576,-0.09762151182854135,-0.04377422227338315
shiba-inu_reverse_bb_momentum,0.06984795748673125,0.04702981518020922,0.1802389013250611,0.08405141518630614,0.1343775739314348,0.05323244518548792,0.046052675324697284,-0.09797595388215571,-0.01733120742098357,0.062349375160887024,-0.0187728579378591,-0.034416498591965744,0.03293047543687122,0.0015477977836612922,-0.03181271154308052,0.10983049623380003,-0.052172378764336724,-0.019680790614625614,0.07782228483460145,0.11349567158970726,-0.08053023531705263,-0.06307594665101747,-0.00403026878676957,0.00808382122455552,0.06617576787115788
crypto_vix_30d,0.0030187300556737953,0.24018010096137862,-0.09033447949791988,0.009347122392130022,0.04122039463988997,0.0770454863988819,0.030931214368171256,0.11157197214509193,0.1784248457793322,-0.07069122165383615,-0.07982833360525565,-0.0016072202788327272,0.07507290859012808,-0.0803791602800385,-0.05541528373582544,0.017369898978460363,0.05851643099339862,0.013937406709718827,0.05167984671637163,-0.06188534272610597,0.02471685528357012,0.12587639956472502,-0.06752492900159199,0.051614254688797954,0.08838218922324148
ethereum_price_sma14_ratio,0.1441114760403225,-0.08108568242527216,0.003928924442605496,0.010818636812272645,-0.06641114692889989,0.08316353652638725,0.023331717596784207,0.01158000772778714,0.05568583312028627,0.08390316647144455,0.006095409293816578,-0.0877439168191626,0.07897555303319315,-0.10839884259444274,0.06304697682046043,0.049471877118434954,0.10900576015946115,-0.01932409860211454,0.05983378899132984,0.0014836546734875722,0.09393515071816633,-0.021823178875702134,-0.006170151361518397,-0.06640804699563198,-0.03616144288655868
cardano_btc_ratio_momentum,0.11045421480578706,0.13876884474514184,-0.08648273080123584,-0.05419666863945314,0.011916722622792204,-0.054070331972076044,0.0030073899841472906,-0.10179327851272797,-0.15756056322356404,0.013192513514280323,0.06499727478126982,-0.05031849684972548,-0.02471892114577981,0.060678942035579025,-0.0551721121726175,0.057970599194253805,-0.07829541365416694,0.045661716266601315,0.03865137693675383,-0.10705279224431563,0.07665265566393055,0.07088319152230231,0.07070070435272471,0.059497780096949365,-0.05999530140706147
bitcoin_price_sma7_ratio,0.1274424115831896,-0.01970934460348124,0.13675827822724668,-0.07281029794133853,0.001694172368967968,0.03762316067979528,-0.08778183882423998,0.118477640183346,0.042880582624926875,0.01840833075436671,-0.016975570793424488,0.06855754612748083,0.002788137806542468,-0.11407715407402154,-0.08055724679861992,-0.09739158243921392,-0.023843182334348928,0.020517537760676635,-0.03214453401794209,-0.06265621775373684,-0.039849419575090674,-0.049663962576335166,0.09464481462377033,-0.05167587401104495,-0.0055345963241362275
litecoin_momentum_5,0.11073531581493898,-8.544295506229651e-05,0.03665299993034791,0.1366327953956248,-0.0560857504498936,-0.08553921670818183,-0.12881365396766248,0.10726707043710398,-0.04751481266424776,-0.08929787151603563,0.11971238699469212,-0.08038376003038647,-0.02473182582951463,0.03186596857005755,0.004423614040308221,-0.145691474145032,0.041263349005967606,-0.012501524176735054,0.0012384592900599734,0.058980349956611666,0.02444913943015395,-0.09763323671859479,-0.16214368048484668,0.09036953818458338,0.09817940935786329
cardano_reverse_bb_momentum,0.07069385013673132,0.06335655807310646,0.15873445332519664,0.03821358042373904,0.14341800084747158,0.02474929686486905,0.014981666696709504,-0.09174805434329525,-0.08057312734774053,0.010737652451904556,0.057784836820087254,-0.03263679140843179,0.02943447399696633,0.002186465414831369,0.07220551804224873,-0.0359624256733887,0.052589590476865324,0.09047084317235551,0.08354640880727705,-0.1432729741298718,-0.10328412052646535,0.2382823907377011,0.1307865543813551,0.13694523468867242,0.19900890211191252
ethereum_realized_vol_30d,0.021434526605457572,0.10665297652747165,0.006139720410990063,-0.022955325957788205,-0.16527380139320544,0.23147923496801687,0.20172449710977494,-0.015265999713936884,0.07485947340111881,-0.20134864006540149,-0.00685159509348332,-0.03979223566597842,0.05702472402794068,-0.02351226711601131,-0.05070530154210501,0.01177550422244672,0.04743958719007203,0.05834144527750648,-0.03623119285697008,-0.09094955749730341,-0.012592017887638918,0.10070434223042517,-0.07499009539869819,0.08514452520919115,0.06331728054140204
ethereum_sharpe_30d,0.11652697874296512,-0.0971354324476103,-0.11155542909367229,0.01063757141090772,0.06646706577724028,0.13147377159915236,0.13305768873174384,0.0944440175707454,-0.020042982510095467,-0.011158821468704838,-0.0007684422936283797,0.02024214528491827,0.05477580408170435,0.07393360124360056,-0.02035529526622457,0.08242947919149149,-0.021939317625370852,0.04912689459138696,-0.0463619075007966,0.014536352347396753,-0.021163285070673943,0.0384115563334768,0.03798276792512034,0.05417176254760131,-0.027053396627517184
cardano_momentum_5,0.1189040761654973,0.0548939402610948,0.05449868040482406,0.0037967007157598464,-0.06050788689601709,-0.025446027271911642,-0.13871533327432445,0.09401190580106196,-0.1364912092310433,-0.03282739764639736,0.16913284387209207,0.0012969871706324798,0.056157362604465355,0.05598600260049141,-0.003672321128599443,-0.053505771063972085,-0.027159054838096275,0.1294096462757468,0.06076671111671709,-0.07631865337209422,-0.02804717458189067,0.18051857050628567,0.015303027242548242,0.03418960733653263,0.00150857680732875
ethereum_reverse_bb_momentum,0.08466283412160064,0.019473611006631815,0.17883202447871696,0.08439577005288297,0.13427275152351806,0.08059453372780745,0.060625080365168345,-0.05649232126324766,0.01816353476273548,0.017946456146749612,-0.01887050339743529,0.02153528902631402,0.008529295847416057,-0.0768164534701543,0.046902102641545984,0.061928749011898154,0.06221613736228639,-0.07653772686790453,0.07083630622355049,0.0808663118848561,-0.022748719806037015,0.06381249838742642,0.016958550800083627,-0.013794863518521144,0.023498234845651042
tether_vol_14d,0.05454282016929756,0.11497818116491704,-0.11632220158257733,-0.09853430882417824,0.21810418670765028,-0.07097440188786755,-0.10013685247405898,0.11055125614828763,0.04120792503989194,0.1453675124235161,-0.01410163543168097,0.004593747838875839,-0.010853975548748007,0.07929831160524348,-0.02555135798957031,0.09086588746897727,-0.02732646235520958,0.03393467933343826,0.05292668303126929,0.05325283902715816,0.015099306407238777,0.07375738089695205,-0.0325317890254427,-0.02597900973013375,0.037765057723268644
ripple_price_sma30_ratio,0.1213288828177512,0.09912499768160488,-0.14908420994210497,0.00255165025411621,0.09269680347898389,-0.059550251065727686,0.0034323433777752052,-0.019628883747892324,-0.04093681699317989,-0.15079786242619764,0.01267929738182844,0.02029746542293054,0.039003022506120366,-0.04876858565559594,-0.018145375180242784,-0.02576863680284995,-0.006722017225425182,-0.03675035889316117,-0.035344702063175124,-0.022807256465452258,-0.019763032848188006,-0.011336887578906125,0.039819959255686405,-0.01375699541546742,-0.026347323935841695
bitcoin_rsi_30,0.13615589509214562,-0.088620816984814,-0.0892906330413614,-0.0669127267098725,0.12957117985848246,0.021434519627520618,0.020170945015847104,0.08559007652809615,0.014777548835106947,-0.04609496228597555,-0.02008298096622225,-0.008578737450835414,0.005053427755072254,-0.011044462060612263,-0.060852956404331304,0.04450656952381021,-0.006223701558905781,-0.024568747572681918,-0.04231343890255469,-0.05877147219159029,0.042850856887127975,0.050593034127097286,0.06196111556841457,0.042623155779440765,-0.03052388700762232
dogecoin_momentum_10,0.12985715296198824,-0.015878803370060805,-0.013681547007547977,-0.1283878296748091,-0.07003073455743201,-0.0703684706910059,-0.06641176529550571,-0.11122717218920714,-0.01404983457217497,0.14902041113863482,-0.12908019988732983,-0.06720103306811176,-0.035704316877010964,0.05953863938041851,0.06155403912142332,0.001183551632511201,0.024325849005606193,0.07443170924277073,-0.04098195138696559,0.022899459421558313,-0.01053569713299013,-0.0031090956392506863,-0.06200276918015385,0.06813172843402676,0.07920321703003058
binancecoin_momentum_10,0.11588980526250398,-0.007652423995581641,-0.01357480230086298,0.10486737344008862,-0.10372397337837387,-0.005225151803704205,-0.04527932084065012,0.017667403739199727,0.16288211109644302,0.06178754683645587,-0.23361628427076472,-0.08858158632967897,0.03406171293294677,-0.04703962544938617,0.1633579738817857,0.07762769627201993,0.05567731627248229,0.03713848676507165,-0.16488125572335424,0.044555078984130164,-0.026114436223909965,0.110721403469286,0.003427534631109612,-0.06372420976881346,0.043562665300654044
